,req_turning,req_milling,plan,req_sheet_metal,req_sheet_metal_inserts,one_manufacturer,post_id_manuf,sheet_metal_inserts,sheet_metal_weldings,sheet_metal_punching,employees_num,country,predBidProb,manufacturer_name
20,0,1,urgent,1,1,0,15228,1,1,1,50+,TR,0.1853048658153651,Metalif Inc.
5,0,1,urgent,1,1,1,788,1,1,1,21-50,IL,0.8570263138619258,Zahavi steel ltd.
20,0,1,urgent,1,1,1,15228,1,1,1,50+,TR,0.2517775920110873,Metalif Inc.
11,0,1,urgent,1,1,1,2184,1,1,1,6-20,IL,0.18934604582603062,P.D.R ELECTRONICS
4,0,1,urgent,1,1,1,774,1,1,1,21-50,IL,0.1692554621486512,R.Benes Metal Ltd.
3,0,1,urgent,1,1,1,770,0,0,0,6-20,IL,0.149549966909844,M.ash presicion mechanics
5,0,1,urgent,0,0,0,788,1,1,1,21-50,IL,0.3604267101175995,Zahavi steel ltd.
3,0,1,urgent,0,0,0,770,0,0,0,6-20,IL,0.3096697446866152,M.ash presicion mechanics
15,0,1,urgent,0,0,0,5011,0,0,0,6-20,IL,0.23284812139828892,YAAF
13,0,1,urgent,0,0,0,4753,1,1,0,6-20,IL,0.18897713257407928,Aloni engineering
19,0,1,urgent,0,0,0,15212,1,0,1,6-20,TR,0.16446979718935478,FGM TEKNİK
5,0,1,urgent,0,0,1,788,1,1,1,21-50,IL,0.5482082035535774,Zahavi steel ltd.
3,0,1,urgent,0,0,1,770,0,0,0,6-20,IL,0.44734343352455735,M.ash presicion mechanics
13,0,1,urgent,0,0,1,4753,1,1,0,6-20,IL,0.39666213459149846,Aloni engineering
11,0,1,urgent,0,0,1,2184,1,1,1,6-20,IL,0.16050265109023473,P.D.R ELECTRONICS
15,0,1,urgent,0,0,1,5011,0,0,0,6-20,IL,0.1350791990820361,YAAF
5,0,1,urgent,0,1,0,788,1,1,1,21-50,IL,0.43833463477645207,Zahavi steel ltd.
3,0,1,urgent,0,1,0,770,0,0,0,6-20,IL,0.19732339933450013,M.ash presicion mechanics
16,0,1,urgent,0,1,0,5314,1,1,1,50+,CN,0.1475208363159413,Hongding Photoelectric Technology
11,0,1,urgent,0,1,0,2184,1,1,1,6-20,IL,0.13260142700343513,P.D.R ELECTRONICS
15,0,1,urgent,0,1,0,5011,0,0,0,6-20,IL,0.11983273335695185,YAAF
5,0,1,urgent,0,1,1,788,1,1,1,21-50,IL,0.6269192064059294,Zahavi steel ltd.
3,0,1,urgent,0,1,1,770,0,0,0,6-20,IL,0.30728258896703,M.ash presicion mechanics
11,0,1,urgent,0,1,1,2184,1,1,1,6-20,IL,0.21855281621905553,P.D.R ELECTRONICS
13,0,1,urgent,0,1,1,4753,1,1,0,6-20,IL,0.19567217183747662,Aloni engineering
20,0,1,urgent,0,1,1,15228,1,1,1,50+,TR,0.08830279917185117,Metalif Inc.
16,0,0,quick,1,0,0,5314,1,1,1,50+,CN,0.3620383062063377,Hongding Photoelectric Technology
5,0,0,quick,1,0,0,788,1,1,1,21-50,IL,0.29185331923728264,Zahavi steel ltd.
20,0,0,quick,1,0,0,15228,1,1,1,50+,TR,0.15891933461774935,Metalif Inc.
11,0,0,quick,1,0,0,2184,1,1,1,6-20,IL,0.13646362956368682,P.D.R ELECTRONICS
19,0,0,quick,1,0,0,15212,1,0,1,6-20,TR,0.1248569162533426,FGM TEKNİK
5,0,0,quick,1,0,1,788,1,1,1,21-50,IL,0.47017205543032603,Zahavi steel ltd.
16,0,0,quick,1,0,1,5314,1,1,1,50+,CN,0.23374394126127637,Hongding Photoelectric Technology
13,0,0,quick,1,0,1,4753,1,1,0,6-20,IL,0.22655562314687663,Aloni engineering
11,0,0,quick,1,0,1,2184,1,1,1,6-20,IL,0.2242711900566252,P.D.R ELECTRONICS
20,0,0,quick,1,0,1,15228,1,1,1,50+,TR,0.21846512412593022,Metalif Inc.
5,0,0,quick,1,1,0,788,1,1,1,21-50,IL,0.3633598465284071,Zahavi steel ltd.
16,0,0,quick,1,1,0,5314,1,1,1,50+,CN,0.35945278176491685,Hongding Photoelectric Technology
20,0,0,quick,1,1,0,15228,1,1,1,50+,TR,0.27932465622555813,Metalif Inc.
11,0,0,quick,1,1,0,2184,1,1,1,6-20,IL,0.18776403003238437,P.D.R ELECTRONICS
4,0,0,quick,1,1,0,774,1,1,1,21-50,IL,0.10723458258992467,R.Benes Metal Ltd.
5,0,0,quick,1,1,1,788,1,1,1,21-50,IL,0.5513521302178517,Zahavi steel ltd.
20,0,0,quick,1,1,1,15228,1,1,1,50+,TR,0.3644372222600299,Metalif Inc.
11,0,0,quick,1,1,1,2184,1,1,1,6-20,IL,0.2972194352361625,P.D.R ELECTRONICS
16,0,0,quick,1,1,1,5314,1,1,1,50+,CN,0.23174181929827067,Hongding Photoelectric Technology
35,0,0,quick,1,1,1,44404,1,1,1,6-20,IL,0.1377272365146925,4MODEL
16,0,0,quick,0,0,0,5314,1,1,1,50+,CN,0.25874998439074703,Hongding Photoelectric Technology
19,0,0,quick,0,0,0,15212,1,0,1,6-20,TR,0.23965806943873516,FGM TEKNİK
13,0,0,quick,0,0,0,4753,1,1,0,6-20,IL,0.21426527573902834,Aloni engineering
11,0,0,quick,0,0,0,2184,1,1,1,6-20,IL,0.15911432488635455,P.D.R ELECTRONICS
3,0,0,quick,0,0,0,770,0,0,0,6-20,IL,0.15851801533731064,M.ash presicion mechanics
13,0,0,quick,0,0,1,4753,1,1,0,6-20,IL,0.4348410094483644,Aloni engineering
11,0,0,quick,0,0,1,2184,1,1,1,6-20,IL,0.25715624924104724,P.D.R ELECTRONICS
3,0,0,quick,0,0,1,770,0,0,0,6-20,IL,0.25368720125067296,M.ash presicion mechanics
5,0,0,quick,0,0,1,788,1,1,1,21-50,IL,0.19921003658617537,Zahavi steel ltd.
16,0,0,quick,0,0,1,5314,1,1,1,50+,CN,0.1579929976384741,Hongding Photoelectric Technology
16,0,0,quick,0,1,0,5314,1,1,1,50+,CN,0.2566054021424628,Hongding Photoelectric Technology
11,0,0,quick,0,1,0,2184,1,1,1,6-20,IL,0.21679203312382384,P.D.R ELECTRONICS
19,0,0,quick,0,1,0,15212,1,0,1,6-20,TR,0.15332151492683813,FGM TEKNİK
5,0,0,quick,0,1,0,788,1,1,1,21-50,IL,0.1379292727177337,Zahavi steel ltd.
20,0,0,quick,0,1,0,15228,1,1,1,50+,TR,0.10036315952247223,Metalif Inc.
11,0,0,quick,0,1,1,2184,1,1,1,6-20,IL,0.33616559387837136,P.D.R ELECTRONICS
5,0,0,quick,0,1,1,788,1,1,1,21-50,IL,0.25623121478729133,Zahavi steel ltd.
13,0,0,quick,0,1,1,4753,1,1,0,6-20,IL,0.2216114128907205,Aloni engineering
3,0,0,quick,0,1,1,770,0,0,0,6-20,IL,0.15703099776160886,M.ash presicion mechanics
16,0,0,quick,0,1,1,5314,1,1,1,50+,CN,0.15650719133271107,Hongding Photoelectric Technology
16,0,0,standard,1,0,0,5314,1,1,1,50+,CN,0.35980346890649223,Hongding Photoelectric Technology
20,0,0,standard,1,0,0,15228,1,1,1,50+,TR,0.339860578711118,Metalif Inc.
19,0,0,standard,1,0,0,15212,1,0,1,6-20,TR,0.18762612412727045,FGM TEKNİK
5,0,0,standard,1,0,0,788,1,1,1,21-50,IL,0.1836745122951305,Zahavi steel ltd.
10,0,0,standard,1,0,0,1714,1,1,1,50+,HU,0.14633757470610484,MATIC Kft.
20,0,0,standard,1,0,1,15228,1,1,1,50+,TR,0.43235280727560343,Metalif Inc.
5,0,0,standard,1,0,1,788,1,1,1,21-50,IL,0.3263584922251521,Zahavi steel ltd.
16,0,0,standard,1,0,1,5314,1,1,1,50+,CN,0.2320130400621052,Hongding Photoelectric Technology
11,0,0,standard,1,0,1,2184,1,1,1,6-20,IL,0.22227237095052552,P.D.R ELECTRONICS
13,0,0,standard,1,0,1,4753,1,1,0,6-20,IL,0.20072245176497427,Aloni engineering
20,0,0,standard,1,1,0,15228,1,1,1,50+,TR,0.513636926911287,Metalif Inc.
16,0,0,standard,1,1,0,5314,1,1,1,50+,CN,0.3572249678207517,Hongding Photoelectric Technology
5,0,0,standard,1,1,0,788,1,1,1,21-50,IL,0.23756808635067833,Zahavi steel ltd.
11,0,0,standard,1,1,0,2184,1,1,1,6-20,IL,0.18601256053499704,P.D.R ELECTRONICS
19,0,0,standard,1,1,0,15212,1,0,1,6-20,TR,0.11714605848058725,FGM TEKNİK
20,0,0,standard,1,1,1,15228,1,1,1,50+,TR,0.6097398154336863,Metalif Inc.
5,0,0,standard,1,1,1,788,1,1,1,21-50,IL,0.40152555073630397,Zahavi steel ltd.
11,0,0,standard,1,1,1,2184,1,1,1,6-20,IL,0.29481755597021575,P.D.R ELECTRONICS
16,0,0,standard,1,1,1,5314,1,1,1,50+,CN,0.23002129346666653,Hongding Photoelectric Technology
25,0,0,standard,1,1,1,19928,1,1,1,6-20,IL,0.09914739363439398,"א.ל. כרסומטל זיווד בע""מ"
19,0,0,standard,0,0,0,15212,1,0,1,6-20,TR,0.3378599901388869,FGM TEKNİK
16,0,0,standard,0,0,0,5314,1,1,1,50+,CN,0.25689599174810807,Hongding Photoelectric Technology
13,0,0,standard,0,0,0,4753,1,1,0,6-20,IL,0.18949018004645696,Aloni engineering
11,0,0,standard,0,0,0,2184,1,1,1,6-20,IL,0.1575782537575585,P.D.R ELECTRONICS
15,0,0,standard,0,0,0,5011,0,0,0,6-20,IL,0.14337923674148342,YAAF
13,0,0,standard,0,0,1,4753,1,1,0,6-20,IL,0.3974626960920574,Aloni engineering
11,0,0,standard,0,0,1,2184,1,1,1,6-20,IL,0.25496067181010884,P.D.R ELECTRONICS
19,0,0,standard,0,0,1,15212,1,0,1,6-20,TR,0.22673206335047488,FGM TEKNİK
20,0,0,standard,0,0,1,15228,1,1,1,50+,TR,0.17980928751916578,Metalif Inc.
16,0,0,standard,0,0,1,5314,1,1,1,50+,CN,0.1567083213029043,Hongding Photoelectric Technology
16,0,0,standard,0,1,0,5314,1,1,1,50+,CN,0.2547614945546306,Hongding Photoelectric Technology
20,0,0,standard,0,1,0,15228,1,1,1,50+,TR,0.23311218149277313,Metalif Inc.
19,0,0,standard,0,1,0,15212,1,0,1,6-20,TR,0.22669389933401837,FGM TEKNİK
11,0,0,standard,0,1,0,2184,1,1,1,6-20,IL,0.21484141084083053,P.D.R ELECTRONICS
5,0,0,standard,0,1,0,788,1,1,1,21-50,IL,0.08033202884953526,Zahavi steel ltd.
11,0,0,standard,0,1,1,2184,1,1,1,6-20,IL,0.3335983815964593,P.D.R ELECTRONICS
20,0,0,standard,0,1,1,15228,1,1,1,50+,TR,0.31020452796188014,Metalif Inc.
13,0,0,standard,0,1,1,4753,1,1,0,6-20,IL,0.19619899835254193,Aloni engineering
5,0,0,standard,0,1,1,788,1,1,1,21-50,IL,0.15830448728907087,Zahavi steel ltd.
16,0,0,standard,0,1,1,5314,1,1,1,50+,CN,0.15523236908941562,Hongding Photoelectric Technology
5,0,0,urgent,1,0,0,788,1,1,1,21-50,IL,0.580136942433953,Zahavi steel ltd.
16,0,0,urgent,1,0,0,5314,1,1,1,50+,CN,0.16356241342966216,Hongding Photoelectric Technology
3,0,0,urgent,1,0,0,770,0,0,0,6-20,IL,0.10891406673891772,M.ash presicion mechanics
4,0,0,urgent,1,0,0,774,1,1,1,21-50,IL,0.10675039473404555,R.Benes Metal Ltd.
17,0,0,urgent,1,0,0,7490,1,1,0,6-20,IL,0.08443291610423992,GS ELECTRONIC PACKAGING
5,0,0,urgent,1,0,1,788,1,1,1,21-50,IL,0.7484347948218261,Zahavi steel ltd.
3,0,0,urgent,1,0,1,770,0,0,0,6-20,IL,0.18069763177137668,M.ash presicion mechanics
13,0,0,urgent,1,0,1,4753,1,1,0,6-20,IL,0.14678203588198377,Aloni engineering
20,0,0,urgent,1,0,1,15228,1,1,1,50+,TR,0.10132683287816184,Metalif Inc.
11,0,0,urgent,1,0,1,2184,1,1,1,6-20,IL,0.09889392333952979,P.D.R ELECTRONICS
5,0,0,urgent,1,1,0,788,1,1,1,21-50,IL,0.6567680717123663,Zahavi steel ltd.
16,0,0,urgent,1,1,0,5314,1,1,1,50+,CN,0.16203431010411284,Hongding Photoelectric Technology
4,0,0,urgent,1,1,0,774,1,1,1,21-50,IL,0.14813793230089228,R.Benes Metal Ltd.
17,0,0,urgent,1,1,0,7490,1,1,0,6-20,IL,0.1380459792136189,GS ELECTRONIC PACKAGING
20,0,0,urgent,1,1,0,15228,1,1,1,50+,TR,0.13519933754235341,Metalif Inc.
5,0,0,urgent,1,1,1,788,1,1,1,21-50,IL,0.8046902776028748,Zahavi steel ltd.
20,0,0,urgent,1,1,1,15228,1,1,1,50+,TR,0.1878423643774638,Metalif Inc.
11,0,0,urgent,1,1,1,2184,1,1,1,6-20,IL,0.13833334278701193,P.D.R ELECTRONICS
4,0,0,urgent,1,1,1,774,1,1,1,21-50,IL,0.12283530066502611,R.Benes Metal Ltd.
