req_turning,req_milling,plan,req_sheet_metal,req_sheet_metal_inserts,one_manufacturer,num_distinct_parts_binned,separator,manufacturer_name,post_id_manuf,predBidProb
0,1,quick,0,0,1,[1-4),,P.D.R ELECTRONICS,2184,0.3192558813119142
0,1,quick,0,0,1,[1-4),,Zahavi steel ltd.,788,0.3046427858346369
0,1,quick,0,0,1,[1-4),,M.ash presicion mechanics,770,0.26732499667582643
0,1,quick,0,0,1,[1-4),,FGM TEKNİK,15212,0.22035267856302582
0,1,quick,0,0,1,>=20,,Aloni engineering,4753,0.7117340197244458
0,1,quick,0,0,1,>=20,,M.ash presicion mechanics,770,0.4857990281212133
0,1,quick,0,0,1,>=20,,P.D.R ELECTRONICS,2184,0.4102852645404867
0,1,quick,0,0,1,>=20,,Shenzhen KG Model Co. Ltd,36004,0.24013862718913626
0,1,quick,0,0,1,>=20,,Hongding Photoelectric Technology,5314,0.18881058282254248
0,1,quick,0,0,1,[11-20),,Aloni engineering,4753,0.5400942099898627
0,1,quick,0,0,1,[11-20),,P.D.R ELECTRONICS,2184,0.44487078210477476
0,1,quick,0,0,1,[11-20),,M.ash presicion mechanics,770,0.4169776320673346
0,1,quick,0,0,1,[11-20),,YAAF,5011,0.22244700535703335
0,1,quick,0,0,1,[11-20),,FGM TEKNİK,15212,0.20421286448572915
0,1,quick,0,1,0,[4-11),,Hongding Photoelectric Technology,5314,0.37771029825970515
0,1,quick,0,1,0,[4-11),,P.D.R ELECTRONICS,2184,0.27299234134057054
0,1,quick,0,1,0,[4-11),,FGM TEKNİK,15212,0.1971280857236629
0,1,quick,0,1,0,[4-11),,M.ash presicion mechanics,770,0.18863859380410147
0,1,quick,0,1,0,[4-11),,Metalif Inc.,15228,0.14718602883189458
0,1,quick,0,1,0,[1-4),,Hongding Photoelectric Technology,5314,0.32406101961203143
0,1,quick,0,1,0,[1-4),,P.D.R ELECTRONICS,2184,0.2675581936965742
0,1,quick,0,1,0,[1-4),,Zahavi steel ltd.,788,0.251690272713521
0,1,quick,0,1,0,[1-4),,FGM TEKNİK,15212,0.2230563619490273
0,1,quick,0,1,0,[1-4),,Metalif Inc.,15228,0.1378429126278807
0,1,quick,0,1,0,>=20,,P.D.R ELECTRONICS,2184,0.3514573358669317
0,1,quick,0,1,0,>=20,,Hongding Photoelectric Technology,5314,0.3005470472246712
0,1,quick,0,1,0,>=20,,Aloni engineering,4753,0.23961825675050544
0,1,quick,0,1,0,>=20,,Metalif Inc.,15228,0.23868376641910274
0,1,quick,0,1,0,>=20,,M.ash presicion mechanics,770,0.2149810297273845
0,1,quick,0,1,0,[11-20),,P.D.R ELECTRONICS,2184,0.38431563014448483
0,1,quick,0,1,0,[11-20),,Hongding Photoelectric Technology,5314,0.26222498919475973
0,1,quick,0,1,0,[11-20),,FGM TEKNİK,15212,0.206771035915455
0,1,quick,0,1,0,[11-20),,YAAF,5011,0.19661762238332
0,1,quick,0,1,0,[11-20),,M.ash presicion mechanics,770,0.17171347472005352
0,1,quick,0,1,1,[4-11),,P.D.R ELECTRONICS,2184,0.4053599255334654
0,1,quick,0,1,1,[4-11),,M.ash presicion mechanics,770,0.2863204809704924
0,1,quick,0,1,1,[4-11),,Aloni engineering,4753,0.284275178224355
0,1,quick,0,1,1,[4-11),,Zahavi steel ltd.,788,0.24967968098623544
0,1,quick,0,1,1,[4-11),,Hongding Photoelectric Technology,5314,0.24566295129534002
0,1,quick,0,1,1,[1-4),,Zahavi steel ltd.,788,0.4402502255279323
0,1,quick,0,1,1,[1-4),,P.D.R ELECTRONICS,2184,0.39873602440723965
0,1,quick,0,1,1,[1-4),,Aloni engineering,4753,0.28280526328704464
0,1,quick,0,1,1,[1-4),,Hongding Photoelectric Technology,5314,0.2046027256138637
0,1,quick,0,1,1,[1-4),,Metalif Inc.,15228,0.18613574460673743
0,1,quick,0,1,1,>=20,,P.D.R ELECTRONICS,2184,0.4959183103766164
0,1,quick,0,1,1,>=20,,Aloni engineering,4753,0.47313628436336896
0,1,quick,0,1,1,>=20,,M.ash presicion mechanics,770,0.3209085189808455
0,1,quick,0,1,1,>=20,,Metalif Inc.,15228,0.3096184027645353
0,1,quick,0,1,1,>=20,,Zahavi steel ltd.,788,0.21263757712390025
0,1,quick,0,1,1,[11-20),,P.D.R ELECTRONICS,2184,0.5312198488013428
0,1,quick,0,1,1,[11-20),,Aloni engineering,4753,0.29929501498663447
0,1,quick,0,1,1,[11-20),,Zahavi steel ltd.,788,0.2783649321968498
0,1,quick,0,1,1,[11-20),,M.ash presicion mechanics,770,0.26347716117016334
0,1,quick,0,1,1,[11-20),,Metalif Inc.,15228,0.1890442674453734
0,1,standard,1,0,0,[4-11),,Hongding Photoelectric Technology,5314,0.5107839695229616
0,1,standard,1,0,0,[4-11),,Metalif Inc.,15228,0.42877499874977093
0,1,standard,1,0,0,[4-11),,FGM TEKNİK,15212,0.2450143911564553
0,1,standard,1,0,0,[4-11),,MATIC Kft.,1714,0.21357489038471483
0,1,standard,1,0,0,[4-11),,P.D.R ELECTRONICS,2184,0.16356061049320025
0,1,standard,1,0,0,[1-4),,Hongding Photoelectric Technology,5314,0.4519610989590994
0,1,standard,1,0,0,[1-4),,Metalif Inc.,15228,0.41015382813631324
0,1,standard,1,0,0,[1-4),,Zahavi steel ltd.,788,0.31147697453920886
0,1,standard,1,0,0,[1-4),,FGM TEKNİK,15212,0.27508314413859086
0,1,standard,1,0,0,[1-4),,MATIC Kft.,1714,0.19193815890877072
0,1,standard,1,0,0,>=20,,Metalif Inc.,15228,0.5769057574422306
0,1,standard,1,0,0,>=20,,Hongding Photoelectric Technology,5314,0.4250018229114421
0,1,standard,1,0,0,>=20,,P.D.R ELECTRONICS,2184,0.22009435124468593
0,1,standard,1,0,0,>=20,,FGM TEKNİK,15212,0.2033301757085174
0,1,standard,1,0,0,>=20,,Aloni engineering,4753,0.20286639202564194
0,1,standard,1,0,0,[11-20),,Metalif Inc.,15228,0.4147788345922527
0,1,standard,1,0,0,[11-20),,Hongding Photoelectric Technology,5314,0.3794189469851621
0,1,standard,1,0,0,[11-20),,MATIC Kft.,1714,0.29406174502795734
