agency,post_id_manuf,num_bids
37618,12002,0
37618,11093,0
37618,8183,0
37618,24491,0
37618,25719,0
37618,29775,0
37618,35999,0
3917,4753,0
3917,2194,0
3917,1714,0
3917,1684,0
3917,1670,0
3917,1276,0
3917,1266,0
3917,887,0
3917,790,0
3917,788,0
3917,768,0
3917,766,0
3917,756,0
3917,742,0
3917,740,0
3917,421,0
3917,407,0
37618,42272,0
37618,38958,0
37618,5011,0
37618,5007,0
37618,2194,0
37546,24491,0
37546,23680,0
37546,23582,0
37546,21638,0
37546,21576,0
37546,20636,0
37546,20522,0
37546,20224,0
37546,19928,0
37546,19924,0
37546,19776,0
37546,19573,0
37546,19571,0
37546,15865,0
37546,15611,0
37546,15228,0
37546,15203,0
34472,19924,0
37546,15151,0
37546,15141,0
37546,23710,0
37546,25719,0
37618,1714,0
37546,29775,0
37618,1684,0
37618,1670,0
37618,1276,0
37618,1266,0
37618,887,0
37618,790,0
37618,774,0
37618,770,0
37618,768,0
37618,766,0
37618,756,0
37618,742,0
37618,740,0
37618,421,0
37618,407,0
37546,44404,0
37546,42272,0
37546,38958,0
37546,29877,0
34472,19928,0
,407,0
34472,19776,0
31665,7490,0
31665,15611,0
31665,15228,0
31665,15212,0
31665,15203,0
31665,15189,0
31665,15151,0
31665,15141,0
31665,12002,0
31665,11093,0
31665,8183,0
31665,5011,0
31665,19571,0
31665,5007,0
31665,4753,0
31665,2194,0
31665,2184,0
31665,1714,0
31665,1684,0
31665,1670,0
31665,1276,0
31665,1266,0
31665,887,0
31665,15865,0
31665,19573,0
31665,788,0
31665,25719,0
31904,742,0
31904,740,0
31904,421,0
31904,407,0
31665,44404,0
31665,42272,0
31665,38958,0
31665,35999,0
31665,29877,0
31665,29775,0
31665,24491,0
31665,19776,0
31665,23710,0
31665,23680,0
31665,23582,0
31665,21638,0
31665,21576,0
31665,20636,0
31665,20522,0
31665,20224,0
31665,19928,0
31665,19924,0
31665,790,0
31665,774,0
34472,19573,0
31427,12002,0
31427,19776,0
31427,19573,0
31427,19571,0
31427,15865,0
31427,15611,0
31427,15228,0
31427,15203,0
31427,15189,0
31427,15151,0
31427,15141,0
31427,11093,0
31427,19928,0
31427,8183,0
31427,7490,0
31427,5314,0
31427,5011,0
31427,5007,0
31427,4753,0
31427,2194,0
31427,2184,0
31427,1714,0
31427,1684,0
31427,19924,0
31427,20224,0
31665,770,0
31427,36004,0
31665,768,0
31665,766,0
31665,756,0
31665,742,0
31665,740,0
31665,421,0
31665,407,0
31427,44404,0
31427,42272,0
31427,38958,0
31427,35999,0
31427,20522,0
31427,29877,0
31427,29775,0
31427,25719,0
31427,24491,0
31427,23710,0
31427,23680,0
31427,23582,0
31427,21638,0
31427,21576,0
31427,20636,0
31904,756,0
31904,766,0
31904,768,0
32015,1670,0
32015,11093,0
32015,8183,0
32015,7490,0
32015,5011,0
32015,5007,0
32015,4753,0
32015,2194,0
32015,2184,0
32015,1714,0
32015,1684,0
32015,1276,0
32015,15141,0
32015,1266,0
32015,887,0
32015,790,0
32015,788,0
32015,774,0
32015,770,0
32015,768,0
32015,766,0
32015,756,0
32015,742,0
32015,12002,0
32015,15151,0
31904,770,0
32015,20636,0
32015,35999,0
32015,29877,0
32015,29775,0
32015,25719,0
32015,24491,0
32015,23710,0
32015,23680,0
32015,23582,0
32015,21638,0
32015,21576,0
32015,20522,0
32015,15189,0
32015,20224,0
32015,19928,0
32015,19924,0
32015,19776,0
32015,19573,0
32015,19571,0
32015,15865,0
32015,15611,0
32015,15228,0
32015,15203,0
32015,740,0
32015,421,0
32015,407,0
31904,5007,0
31904,15203,0
31904,15189,0
31904,15151,0
31904,15141,0
31904,12002,0
31904,11093,0
31904,8183,0
31904,7490,0
31904,5314,0
31904,5011,0
31904,4753,0
31904,44404,0
31904,2194,0
31904,2184,0
31904,1714,0
31904,1684,0
31904,1670,0
31904,1276,0
31904,1266,0
31904,887,0
31904,790,0
31904,774,0
31904,15212,0
31904,15228,0
31904,15611,0
31904,15865,0
31904,42272,0
31904,38958,0
31904,36004,0
31904,35999,0
31904,29877,0
31904,29775,0
31904,25719,0
31904,24491,0
31904,23710,0
31904,23680,0
31904,23582,0
31904,21638,0
31904,21576,0
31904,20636,0
31904,20522,0
31904,20224,0
31904,19928,0
31904,19924,0
31904,19776,0
31904,19573,0
31904,19571,0
31427,1670,0
31427,1276,0
31427,1266,0
30718,2194,0
30718,15228,0
30718,15203,0
30718,15189,0
30718,15151,0
30718,15141,0
30718,12002,0
30718,11093,0
30718,8183,0
30718,7490,0
30718,5007,0
30718,1714,0
30718,15865,0
30718,1684,0
30718,1670,0
30718,1276,0
30718,1266,0
30718,887,0
30718,790,0
30718,788,0
30718,774,0
30718,768,0
30718,766,0
30718,15611,0
30718,19571,0
30807,770,0
30718,29877,0
30807,766,0
30807,756,0
30807,742,0
30807,740,0
30807,421,0
30807,407,0
30718,44404,0
30718,42272,0
30718,38958,0
30718,35999,0
30718,29775,0
30718,19573,0
30718,24491,0
30718,23680,0
30718,23582,0
30718,21638,0
30718,20636,0
30718,20522,0
30718,20224,0
30718,19928,0
30718,19924,0
30718,19776,0
30718,756,0
30718,742,0
30718,740,0
30564,5011,0
30564,15228,0
30564,15212,0
30564,15203,0
30564,15189,0
30564,15151,0
30564,15141,0
30564,12002,0
30564,11093,0
30564,8183,0
30564,7490,0
30564,5007,0
30718,421,0
30564,4753,0
30564,2194,0
30564,2184,0
30564,1714,0
30564,1684,0
30564,1670,0
30564,1276,0
30564,1266,0
30564,887,0
30564,790,0
30564,15611,0
30564,15865,0
30564,19571,0
30564,19573,0
30718,407,0
30564,44404,0
30564,42272,0
30564,38958,0
30564,36004,0
30564,35999,0
30564,29877,0
30564,29775,0
30564,25719,0
30564,24491,0
30564,23710,0
30564,23680,0
30564,23582,0
30564,21638,0
30564,21576,0
30564,20636,0
30564,20522,0
30564,20224,0
30564,19928,0
30564,19924,0
30564,19776,0
30807,768,0
30807,774,0
31427,887,0
3094,15189,0
3094,19928,0
3094,19924,0
3094,19776,0
3094,19573,0
3094,19571,0
3094,15865,0
3094,15611,0
3094,15228,0
3094,15212,0
3094,15203,0
3094,15151,0
3094,20522,0
3094,15141,0
3094,12002,0
3094,11093,0
3094,8183,0
3094,7490,0
3094,2194,0
3094,2184,0
3094,1714,0
3094,1684,0
3094,1670,0
3094,20224,0
3094,20636,0
30807,788,0
31427,407,0
31427,790,0
31427,788,0
31427,774,0
31427,770,0
31427,768,0
31427,766,0
31427,756,0
31427,742,0
31427,740,0
31427,421,0
3094,42272,0
3094,21576,0
3094,38958,0
3094,35999,0
3094,29877,0
3094,29775,0
3094,25719,0
3094,24491,0
3094,23710,0
3094,23680,0
3094,23582,0
3094,21638,0
3094,1276,0
3094,887,0
3094,768,0
30807,5011,0
30807,15611,0
30807,15228,0
30807,15203,0
30807,15189,0
30807,15151,0
30807,15141,0
30807,12002,0
30807,11093,0
30807,8183,0
30807,7490,0
30807,5007,0
3094,766,0
30807,4753,0
30807,2194,0
30807,2184,0
30807,1714,0
30807,1684,0
30807,1670,0
30807,1276,0
30807,1266,0
30807,887,0
30807,790,0
30807,15865,0
30807,19571,0
30807,19573,0
30807,19776,0
3094,756,0
3094,421,0
3094,407,0
30807,44404,0
30807,42272,0
30807,38958,0
30807,36004,0
30807,35999,0
30807,29775,0
30807,25719,0
30807,24491,0
30807,23710,0
30807,23680,0
30807,23582,0
30807,21638,0
30807,21576,0
30807,20636,0
30807,20522,0
30807,20224,0
30807,19928,0
30807,19924,0
32015,36004,0
32015,38958,0
32015,42272,0
33760,38958,0
34124,770,0
34124,768,0
34124,766,0
34124,756,0
34124,742,0
34124,740,0
34124,421,0
34124,407,0
33760,44404,0
33760,42272,0
33760,35999,0
34124,788,0
33760,29877,0
33760,29775,0
33760,25719,0
33760,24491,0
33760,23710,0
33760,23680,0
33760,23582,0
33760,21638,0
33760,21576,0
33760,20636,0
34124,774,0
34124,790,0
34124,19776,0
34124,8183,0
34124,19571,0
34124,15865,0
34124,15611,0
34124,15228,0
34124,15203,0
34124,15189,0
34124,15151,0
34124,15141,0
34124,12002,0
34124,11093,0
34124,7490,0
34124,887,0
34124,5314,0
34124,5011,0
34124,5007,0
34124,4753,0
34124,2194,0
34124,2184,0
34124,1684,0
34124,1670,0
34124,1276,0
34124,1266,0
33760,20522,0
33760,20224,0
33760,19928,0
33760,407,0
33760,790,0
33760,788,0
33760,774,0
33760,770,0
33760,768,0
33760,766,0
33760,756,0
33760,742,0
33760,740,0
33760,421,0
33646,44404,0
33760,19924,0
33646,38958,0
33646,36004,0
33646,35999,0
33646,29877,0
33646,29775,0
33646,25719,0
33646,24491,0
33646,23710,0
33646,23680,0
33646,23582,0
33760,887,0
33760,1266,0
33760,1276,0
33760,1670,0
33760,19776,0
33760,19573,0
33760,19571,0
33760,15865,0
33760,15611,0
33760,15228,0
33760,15203,0
33760,15189,0
33760,15151,0
33760,15141,0
33760,12002,0
33760,11093,0
33760,8183,0
33760,7490,0
33760,5011,0
33760,5007,0
33760,4753,0
33760,2194,0
33760,2184,0
33760,1714,0
33760,1684,0
34124,19573,0
34124,19924,0
33646,21576,0
34369,42272,0
34472,774,0
34472,770,0
34472,768,0
34472,766,0
34472,756,0
34472,742,0
34472,740,0
34472,421,0
34472,407,0
34369,44404,0
34369,35999,0
34472,790,0
34369,29775,0
34369,25719,0
34369,24491,0
34369,23710,0
34369,23680,0
34369,21638,0
34369,21576,0
34369,20636,0
34369,20522,0
34369,20224,0
34472,788,0
34472,887,0
34124,19928,0
34472,8183,0
34472,19571,0
34472,15865,0
34472,15611,0
34472,15228,0
34472,15203,0
34472,15189,0
34472,15151,0
34472,15141,0
34472,12002,0
34472,11093,0
34472,7490,0
34472,1266,0
34472,5314,0
34472,5011,0
34472,5007,0
34472,4753,0
34472,2194,0
34472,2184,0
34472,1714,0
34472,1684,0
34472,1670,0
34472,1276,0
34369,19928,0
34369,19924,0
34369,19776,0
34124,29877,0
34369,756,0
34369,742,0
34369,740,0
34369,421,0
34369,407,0
34124,44404,0
34124,42272,0
34124,38958,0
34124,36004,0
34124,35999,0
34124,29775,0
34369,19573,0
34124,25719,0
34124,24491,0
34124,23710,0
34124,23680,0
34124,23582,0
34124,21638,0
34124,21576,0
34124,20636,0
34124,20522,0
34124,20224,0
34369,766,0
34369,774,0
34369,788,0
34369,790,0
34369,19571,0
34369,15865,0
34369,15611,0
34369,15228,0
34369,15203,0
34369,15189,0
34369,15151,0
34369,15141,0
34369,12002,0
34369,11093,0
34369,8183,0
34369,7490,0
34369,5007,0
34369,2194,0
34369,2184,0
34369,1714,0
34369,1684,0
34369,1670,0
34369,1276,0
34369,1266,0
34369,887,0
33646,21638,0
33646,20636,0
32015,44404,0
33100,768,0
33100,2184,0
33100,1714,0
33100,1684,0
33100,1670,0
33100,1276,0
33100,1266,0
33100,887,0
33100,790,0
33100,774,0
33100,770,0
33100,766,0
33100,4753,0
33100,756,0
33100,742,0
33100,740,0
33100,421,0
33100,407,0
32674,44404,0
32674,42272,0
32674,38958,0
32674,36004,0
32674,35999,0
33100,2194,0
33100,5007,0
33100,23680,0
33100,15611,0
33100,21638,0
33100,21576,0
33100,20636,0
33100,20522,0
33100,20224,0
33100,19924,0
33100,19776,0
