req_turning,req_milling,plan,req_sheet_metal,req_sheet_metal_inserts,one_manufacturer,num_distinct_parts_binned,total_quantity_of_parts_binned,separator,manufacturer_name,post_id_manuf,predBidProb
0,1,quick,1,0,1,>=20,[10-30),,Zahavi steel ltd.,788,0.3967274672134994
0,1,quick,1,0,1,>=20,[10-30),,M.ash presicion mechanics,770,0.32389196012919214
0,1,quick,1,0,1,>=20,[10-30),,Shenzhen KG Model Co. Ltd,36004,0.3119327039658576
0,1,quick,1,0,1,>=20,[10-30),,P.D.R ELECTRONICS,2184,0.2913248489676415
0,1,quick,1,0,1,>=20,[1-10),,Aloni engineering,4753,0.6060302901238733
0,1,quick,1,0,1,>=20,[1-10),,Zahavi steel ltd.,788,0.5364945823395709
0,1,quick,1,0,1,>=20,[1-10),,M.ash presicion mechanics,770,0.40798372129551586
0,1,quick,1,0,1,>=20,[1-10),,Metalif Inc.,15228,0.39837374058722025
0,1,quick,1,0,1,>=20,[1-10),,Shenzhen KG Model Co. Ltd,36004,0.210892793816018
0,1,quick,1,0,1,>=20,[30-100),,Aloni engineering,4753,0.5028752183751116
0,1,quick,1,0,1,>=20,[30-100),,Zahavi steel ltd.,788,0.44785861551456996
0,1,quick,1,0,1,>=20,[30-100),,M.ash presicion mechanics,770,0.3428885648937245
0,1,quick,1,0,1,>=20,[30-100),,P.D.R ELECTRONICS,2184,0.32085759810936726
0,1,quick,1,0,1,>=20,[30-100),,Metalif Inc.,15228,0.31406197016629167
0,1,quick,1,0,1,>=20,>=200,,Metalif Inc.,15228,0.5793116807312803
0,1,quick,1,0,1,>=20,>=200,,P.D.R ELECTRONICS,2184,0.5155464448952426
0,1,quick,1,0,1,>=20,>=200,,Hongding Photoelectric Technology,5314,0.4650305710480166
0,1,quick,1,0,1,>=20,>=200,,Aloni engineering,4753,0.4128945182371393
0,1,quick,1,0,1,>=20,>=200,,Shenzhen KG Model Co. Ltd,36004,0.3499648833693617
0,1,quick,1,0,1,>=20,[100-200),,Zahavi steel ltd.,788,0.5586471490944983
0,1,quick,1,0,1,>=20,[100-200),,Aloni engineering,4753,0.4826693308143816
0,1,quick,1,0,1,>=20,[100-200),,P.D.R ELECTRONICS,2184,0.3244587785696079
0,1,quick,1,0,1,>=20,[100-200),,Shenzhen KG Model Co. Ltd,36004,0.28175752304690704
0,1,quick,1,0,1,>=20,[100-200),,Hongding Photoelectric Technology,5314,0.24543246911901873
0,1,quick,1,0,1,[11-20),[10-30),,Zahavi steel ltd.,788,0.4733232522098958
0,1,quick,1,0,1,[11-20),[10-30),,Aloni engineering,4753,0.35123306326672815
0,1,quick,1,0,1,[11-20),[10-30),,P.D.R ELECTRONICS,2184,0.34022509746249346
0,1,quick,1,0,1,[11-20),[10-30),,M.ash presicion mechanics,770,0.23154464188262763
0,1,quick,1,0,1,[11-20),[10-30),,Hongding Photoelectric Technology,5314,0.22529607536586638
0,1,quick,1,0,1,[11-20),[1-10),,Zahavi steel ltd.,788,0.6126700130563437
0,1,quick,1,0,1,[11-20),[1-10),,Aloni engineering,4753,0.3979017735613821
0,1,quick,1,0,1,[11-20),[1-10),,"א.ל. כרסומטל זיווד בע""מ",19928,0.30476991486350996
0,1,quick,1,0,1,[11-20),[1-10),,M.ash presicion mechanics,770,0.3023834347277
0,1,quick,1,0,1,[11-20),[1-10),,Metalif Inc.,15228,0.28615707823191155
0,1,quick,1,0,1,[11-20),[30-100),,Zahavi steel ltd.,788,0.5257234002705795
0,1,quick,1,0,1,[11-20),[30-100),,P.D.R ELECTRONICS,2184,0.37211211850793163
0,1,quick,1,0,1,[11-20),[30-100),,Aloni engineering,4753,0.30293289630579423
0,1,quick,1,0,1,[11-20),[30-100),,M.ash presicion mechanics,770,0.24710452101907227
0,1,quick,1,0,1,[11-20),[30-100),,Metalif Inc.,15228,0.21702754920942818
0,1,quick,1,0,1,[11-20),>=200,,P.D.R ELECTRONICS,2184,0.5717201629404033
0,1,quick,1,0,1,[11-20),>=200,,Metalif Inc.,15228,0.45464307446652424
0,1,quick,1,0,1,[11-20),>=200,,Hongding Photoelectric Technology,5314,0.4337280708634588
0,1,quick,1,0,1,[11-20),>=200,,Zahavi steel ltd.,788,0.3674709307230869
0,1,quick,1,0,1,[11-20),>=200,,Aloni engineering,4753,0.23203005131312
0,1,quick,1,0,1,[11-20),[100-200),,Zahavi steel ltd.,788,0.6336678443909852
0,1,quick,1,0,1,[11-20),[100-200),,P.D.R ELECTRONICS,2184,0.3759700980158134
0,1,quick,1,0,1,[11-20),[100-200),,Aloni engineering,4753,0.2861366991022077
0,1,quick,1,0,1,[11-20),[100-200),,Hongding Photoelectric Technology,5314,0.22275672871872965
0,1,quick,1,0,1,[11-20),[100-200),,FGM TEKNİK,15212,0.16864680225327136
0,1,quick,1,1,0,[4-11),[10-30),,Hongding Photoelectric Technology,5314,0.4992858269144353
0,1,quick,1,1,0,[4-11),[10-30),,Zahavi steel ltd.,788,0.3358931652440805
0,1,quick,1,1,0,[4-11),[10-30),,Metalif Inc.,15228,0.28631646057880505
0,1,quick,1,1,0,[4-11),[10-30),,P.D.R ELECTRONICS,2184,0.21036778961861524
0,1,quick,1,1,0,[4-11),[10-30),,R.Benes Metal Ltd.,774,0.20240702136191824
0,1,quick,1,1,0,[4-11),[1-10),,Zahavi steel ltd.,788,0.47095972027182026
0,1,quick,1,1,0,[4-11),[1-10),,Metalif Inc.,15228,0.4537281747136509
0,1,quick,1,1,0,[4-11),[1-10),,Hongding Photoelectric Technology,5314,0.38770678067721787
0,1,quick,1,1,0,[4-11),[1-10),,R.Benes Metal Ltd.,774,0.3059977755414342
0,1,quick,1,1,0,[4-11),[1-10),,"א.ל. כרסומטל זיווד בע""מ",19928,0.17906802354903786
0,1,quick,1,1,0,[4-11),[30-100),,Hongding Photoelectric Technology,5314,0.4816107202244168
0,1,quick,1,1,0,[4-11),[30-100),,Zahavi steel ltd.,788,0.38417682408703474
0,1,quick,1,1,0,[4-11),[30-100),,Metalif Inc.,15228,0.3648048849521862
0,1,quick,1,1,0,[4-11),[30-100),,P.D.R ELECTRONICS,2184,0.23440820752039873
0,1,quick,1,1,0,[4-11),[30-100),,4MODEL,44404,0.20901603108726452
0,1,quick,1,1,0,[4-11),>=200,,Hongding Photoelectric Technology,5314,0.7242320641151405
0,1,quick,1,1,0,[4-11),>=200,,Metalif Inc.,15228,0.6333407884942325
0,1,quick,1,1,0,[4-11),>=200,,P.D.R ELECTRONICS,2184,0.40816755630155416
0,1,quick,1,1,0,[4-11),>=200,,Zahavi steel ltd.,788,0.246396668740883
0,1,quick,1,1,0,[4-11),>=200,,4MODEL,44404,0.1655420527880597
0,1,quick,1,1,0,[4-11),[100-200),,Hongding Photoelectric Technology,5314,0.495634031773635
0,1,quick,1,1,0,[4-11),[100-200),,Zahavi steel ltd.,788,0.4932861518359417
0,1,quick,1,1,0,[4-11),[100-200),,P.D.R ELECTRONICS,2184,0.23737825028838377
0,1,quick,1,1,0,[4-11),[100-200),,FGM TEKNİK,15212,0.1762236094596992
0,1,quick,1,1,0,[4-11),[100-200),,Metalif Inc.,15228,0.1688182128462841
0,1,quick,1,1,0,[1-4),[10-30),,Zahavi steel ltd.,788,0.5048634647202798
0,1,quick,1,1,0,[1-4),[10-30),,Hongding Photoelectric Technology,5314,0.4774594534659679
0,1,quick,1,1,0,[1-4),[10-30),,Metalif Inc.,15228,0.2804402173185219
0,1,quick,1,1,0,[1-4),[10-30),,P.D.R ELECTRONICS,2184,0.2373138259135644
0,1,quick,1,1,0,[1-4),[10-30),,"א.ל. כרסומטל זיווד בע""מ",19928,0.17449298067475794
0,1,quick,1,1,0,[1-4),[1-10),,Zahavi steel ltd.,788,0.642173975700888
0,1,quick,1,1,0,[1-4),[1-10),,Metalif Inc.,15228,0.44656594585223447
0,1,quick,1,1,0,[1-4),[1-10),,Hongding Photoelectric Technology,5314,0.36718121633738626
0,1,quick,1,1,0,[1-4),[1-10),,"א.ל. כרסומטל זיווד בע""מ",19928,0.2838799634681504
0,1,quick,1,1,0,[1-4),[1-10),,R.Benes Metal Ltd.,774,0.20379716754417945
0,1,quick,1,1,0,[1-4),[30-100),,Zahavi steel ltd.,788,0.5570621659859668
0,1,quick,1,1,0,[1-4),[30-100),,Hongding Photoelectric Technology,5314,0.4598474097931411
