req_turning,req_milling,plan,req_sheet_metal,req_sheet_metal_inserts,one_manufacturer,num_distinct_parts_binned,total_quantity_of_parts_binned,separator,manufacturer_name,post_id_manuf,predBidProb
0,1,quick,1,0,0,[11-20),[100-200),,P.D.R ELECTRONICS,2184,0.39115274
0,1,quick,1,0,0,[11-20),[100-200),,Hongding Photoelectric Technology,5314,0.33068383
0,1,quick,1,0,0,[11-20),[100-200),,FGM TEKNİK,15212,0.2746827
0,1,quick,1,0,0,[11-20),[100-200),,Zahavi steel ltd.,788,0.27022657
0,1,quick,1,0,0,[11-20),[100-200),,MATIC Kft.,1714,0.23806141
0,1,quick,1,0,1,[4-11),[10-30),,M.ash presicion mechanics,770,0.473581
0,1,quick,1,0,1,[4-11),[10-30),,Metalif Inc.,15228,0.32078364
0,1,quick,1,0,1,[4-11),[10-30),,Aloni engineering,4753,0.3058555
0,1,quick,1,0,1,[4-11),[10-30),,Hongding Photoelectric Technology,5314,0.2641517
0,1,quick,1,0,1,[4-11),[10-30),,Zahavi steel ltd.,788,0.25215527
0,1,quick,1,0,1,[4-11),[1-10),,Aloni engineering,4753,0.39403445
0,1,quick,1,0,1,[4-11),[1-10),,Metalif Inc.,15228,0.37554
0,1,quick,1,0,1,[4-11),[1-10),,Zahavi steel ltd.,788,0.36635703
0,1,quick,1,0,1,[4-11),[1-10),,P.D.R ELECTRONICS,2184,0.3155074
0,1,quick,1,0,1,[4-11),[1-10),,M.ash presicion mechanics,770,0.29671606
0,1,quick,1,0,1,[4-11),[30-100),,P.D.R ELECTRONICS,2184,0.49830228
0,1,quick,1,0,1,[4-11),[30-100),,Zahavi steel ltd.,788,0.29308334
0,1,quick,1,0,1,[4-11),[30-100),,Metalif Inc.,15228,0.29011372
0,1,quick,1,0,1,[4-11),[30-100),,Aloni engineering,4753,0.27836534
0,1,quick,1,0,1,[4-11),[30-100),,Hongding Photoelectric Technology,5314,0.24804807
0,1,quick,1,0,1,[4-11),>=200,,Metalif Inc.,15228,0.5804057
0,1,quick,1,0,1,[4-11),>=200,,P.D.R ELECTRONICS,2184,0.5233802
0,1,quick,1,0,1,[4-11),>=200,,Hongding Photoelectric Technology,5314,0.4425007
0,1,quick,1,0,1,[4-11),>=200,,Shenzhen KG Model Co. Ltd,36004,0.2840378
0,1,quick,1,0,1,[4-11),>=200,,Zahavi steel ltd.,788,0.2749864
0,1,quick,1,0,1,[4-11),[100-200),,Aloni engineering,4753,0.3567043
0,1,quick,1,0,1,[4-11),[100-200),,Zahavi steel ltd.,788,0.34193075
0,1,quick,1,0,1,[4-11),[100-200),,Hongding Photoelectric Technology,5314,0.3188871
0,1,quick,1,0,1,[4-11),[100-200),,P.D.R ELECTRONICS,2184,0.27548924
0,1,quick,1,0,1,[4-11),[100-200),,Shenzhen KG Model Co. Ltd,36004,0.2080171
0,1,quick,1,0,1,[1-4),[10-30),,Zahavi steel ltd.,788,0.36443815
0,1,quick,1,0,1,[1-4),[10-30),,P.D.R ELECTRONICS,2184,0.29959065
0,1,quick,1,0,1,[1-4),[10-30),,Metalif Inc.,15228,0.2866326
0,1,quick,1,0,1,[1-4),[10-30),,Shenzhen KG Model Co. Ltd,36004,0.24368005
0,1,quick,1,0,1,[1-4),[10-30),,Hongding Photoelectric Technology,5314,0.24177784
0,1,quick,1,0,1,[1-4),[1-10),,Zahavi steel ltd.,788,0.6599286
0,1,quick,1,0,1,[1-4),[1-10),,Metalif Inc.,15228,0.34010974
0,1,quick,1,0,1,[1-4),[1-10),,Aloni engineering,4753,0.31847498
0,1,quick,1,0,1,[1-4),[1-10),,P.D.R ELECTRONICS,2184,0.26743254
0,1,quick,1,0,1,[1-4),[1-10),,Hongding Photoelectric Technology,5314,0.21358997
0,1,quick,1,0,1,[1-4),[30-100),,Zahavi steel ltd.,788,0.48848346
0,1,quick,1,0,1,[1-4),[30-100),,P.D.R ELECTRONICS,2184,0.45830745
0,1,quick,1,0,1,[1-4),[30-100),,Metalif Inc.,15228,0.29017565
0,1,quick,1,0,1,[1-4),[30-100),,Hongding Photoelectric Technology,5314,0.21514441
0,1,quick,1,0,1,[1-4),[30-100),,Aloni engineering,4753,0.20745033
0,1,quick,1,0,1,[1-4),>=200,,Zahavi steel ltd.,788,0.5374506
0,1,quick,1,0,1,[1-4),>=200,,Metalif Inc.,15228,0.50142163
0,1,quick,1,0,1,[1-4),>=200,,P.D.R ELECTRONICS,2184,0.49566042
0,1,quick,1,0,1,[1-4),>=200,,Hongding Photoelectric Technology,5314,0.35846815
0,1,quick,1,0,1,[1-4),>=200,,Shenzhen KG Model Co. Ltd,36004,0.27297276
0,1,quick,1,0,1,[1-4),[100-200),,Zahavi steel ltd.,788,0.5534877
0,1,quick,1,0,1,[1-4),[100-200),,P.D.R ELECTRONICS,2184,0.37485063
0,1,quick,1,0,1,[1-4),[100-200),,Hongding Photoelectric Technology,5314,0.2880858
